Wall time,Step,Value
1671075676.3909557,166,97.19999694824219
1671075677.0043185,167,98.30000305175781
1671075677.6167881,168,98.4000015258789
1671075678.3219059,169,97.80000305175781
1671075678.9342716,170,98.5
1671075679.5386593,171,98.30000305175781
1671075680.1978984,172,97.0999984741211
1671075680.8501585,173,97.9000015258789
1671075681.4576707,174,98.0
1671075682.1418436,175,97.9000015258789
1671075682.804076,176,98.30000305175781
1671075683.4174387,177,98.5
1671075684.0689116,178,98.9000015258789
1671075684.690253,179,98.80000305175781
1671075685.32456,180,98.0999984741211
1671075685.9847991,181,98.80000305175781
1671075686.6021497,182,98.9000015258789
1671075687.2236238,183,99.0999984741211
1671075687.875882,184,98.69999694824219
1671075688.51228,185,99.0
1671075689.152571,186,99.0999984741211
1671075689.799843,187,99.19999694824219
1671075690.4261725,188,99.4000015258789
1671075691.066575,189,99.19999694824219
1671075691.7148461,190,98.30000305175781
1671075692.336293,191,98.4000015258789
1671075692.9616237,192,98.69999694824219
1671075693.607994,193,98.80000305175781
1671075694.2821958,194,98.9000015258789
1671075694.935205,195,99.0
1671075695.5804834,196,99.19999694824219
1671075696.2187798,197,98.30000305175781
1671075696.8342736,198,98.5
1671075697.4935143,199,99.0
1671075698.1249335,200,99.5
1671075698.7542539,201,99.4000015258789
1671075699.404518,202,99.5
1671075700.0039182,203,99.9000015258789
1671075700.6601665,204,99.4000015258789
1671075701.3124273,205,99.4000015258789
1671075701.9068434,206,97.9000015258789
1671075702.530178,207,99.0999984741211
1671075703.2033868,208,99.30000305175781
1671075703.8107638,209,97.0999984741211
1671075704.4860637,210,95.69999694824219
1671075705.146301,211,98.19999694824219
1671075705.7506895,212,98.9000015258789
1671075706.359067,213,98.5
1671075707.043243,214,99.30000305175781
1671075707.6527195,215,99.5
1671075708.2640855,216,99.80000305175781
1671075708.954246,217,99.4000015258789
1671075709.5536482,218,98.69999694824219
1671075710.2168758,219,99.80000305175781
1671075710.8771133,220,99.30000305175781
1671075711.4735267,221,98.9000015258789
1671075712.1068351,222,99.80000305175781
1671075712.787138,223,99.30000305175781
1671075713.424435,224,99.19999694824219
1671075714.043782,225,99.80000305175781
1671075714.6851938,226,98.69999694824219
1671075715.2915747,227,97.80000305175781
1671075715.8990643,228,98.69999694824219
1671075716.5882246,229,99.30000305175781
1671075717.192763,230,99.5
1671075717.805128,231,99.5
1671075718.469354,232,98.69999694824219
1671075719.0777297,233,98.0999984741211
1671075719.689098,234,98.4000015258789
1671075720.3523273,235,98.5999984741211
1671075721.0055838,236,97.80000305175781
1671075721.606979,237,98.69999694824219
1671075722.2861679,238,99.69999694824219
1671075722.9543822,239,99.30000305175781
1671075723.5877955,240,99.69999694824219
1671075724.2450442,241,99.5
1671075724.8644998,242,98.5999984741211
1671075725.4658947,243,98.5
1671075726.1211455,244,98.30000305175781
1671075726.7645435,245,97.30000305175781
1671075727.3629463,246,97.30000305175781
1671075728.0142083,247,98.5
1671075728.6664667,248,98.80000305175781
1671075729.3128383,249,99.0
